marca,modelo,año,antiguedad,oferta_ganadora,kilometraje,km_por_año,transmisión,combustible,cilindrada,visitas,numero_pujas,valor_inicial,mandante,placa,detail_url,image_url
HYUNDAI,GRAND I10,2017,8,10000000,92424.0,10269.333333333334,MECANICA,GASOLINA,12,3605,15,1000000,Cia. Seguros,JFSJ38,https://www.karcal.cl/Detalle/Ficha/96300/1,https://www.karcal.cl/Repositorio/24062025/3259d005ccdc40ec8049f26e9a3e1bc5.jpg
SUZUKI,BALENO,2021,4,3900000,22537.0,4507.4,MECANICA,GASOLINA,14,2805,10,1000000,Cia. Seguros,PHDY35,https://www.karcal.cl/Detalle/Ficha/96348/2,https://www.karcal.cl/Repositorio/25062025/2b7524bb2de34122a557bb2604f4f64a.jpg
VOLKSWAGEN,GOL,2018,7,1100000,142683.0,17835.375,MECANICA,GASOLINA,16,8440,2,1000000,Cia. Seguros,KLLW47,https://www.karcal.cl/Detalle/Ficha/96307/3,https://www.karcal.cl/Repositorio/24062025/3ccf1688974b44c28bca90c784e2704c.jpg
CHEVROLET,SAIL,2019,6,2600000,91293.0,13041.857142857143,MECANICA,GASOLINA,15,1325,6,1000000,Cia. Seguros,KXJG96,https://www.karcal.cl/Detalle/Ficha/96313/4,https://www.karcal.cl/Repositorio/24062025/6ee5a47e05e643219efdc0e281b6aa99.jpg
KIA,SOLUTO,2021,4,4200000,55996.0,11199.2,MECANICA,GASOLINA,14,1693,10,1000000,Cia. Seguros,RCFB16,https://www.karcal.cl/Detalle/Ficha/96416/5,https://www.karcal.cl/Repositorio/27062025/5101e9ba371e4ed69ad205d7f3dd01ba.jpg
NISSAN,VERSA,2024,1,7400000,14073.0,7036.5,MECANICA,GASOLINA,16,1635,10,1000000,Cia. Seguros,TPLT80,https://www.karcal.cl/Detalle/Ficha/96409/6,https://www.karcal.cl/Repositorio/27062025/ba090a63449c461889db90f651eacc8d.jpg
BMW,520,2014,11,6600000,100997.0,8416.416666666666,AUTOMATICA,GASOLINA,20,2538,10,2000000,Cia. Seguros,GKRV15,https://www.karcal.cl/Detalle/Ficha/96346/7,https://www.karcal.cl/Repositorio/25062025/50da91ffd10f4a8392ad29b979cf775f.jpg
BMW,530,2009,16,2900000,90527.0,5325.117647058823,AUTOMATICA,GASOLINA,20,9710,5,2000000,Cia. Seguros,BSXH55,https://www.karcal.cl/Detalle/Ficha/96347/8,https://www.karcal.cl/Repositorio/25062025/54dfaed70ec944179700ed2319cdf457.jpg
MERCEDES BENZ,C,2017,8,8600000,104613.0,11623.666666666666,AUTOMATICA,GASOLINA,21,1753,10,3000000,Cia. Seguros,JRCB16,https://www.karcal.cl/Detalle/Ficha/96345/9,https://www.karcal.cl/Repositorio/25062025/bf0b35423255408eb23152079b3b7300.jpg
MERCEDES BENZ,GLE,2018,7,6500000,315961.0,39495.125,MECANICA,DIESEL,22,2604,7,5000000,Particular,KJYB78,https://www.karcal.cl/Detalle/Ficha/96419/10,https://www.karcal.cl/Repositorio/03072025/036eadb04eb4463fbeffdd397c3bb6fc.jpg
BMW,218I,2025,0,11800000,8227.0,8227.0,AUTOMATICA,GASOLINA,15,1402,10,5000000,Cia. Seguros,TSYT30,https://www.karcal.cl/Detalle/Ficha/96394/11,https://www.karcal.cl/Repositorio/27062025/9b360e08c32e40fb828e80c0a7e55f2d.jpg
SUBARU,WRX,2022,3,10200000,29978.0,7494.5,AUTOMATICA,GASOLINA,24,2462,12,3000000,Cia. Seguros,SCTH87,https://www.karcal.cl/Detalle/Ficha/96396/12,https://www.karcal.cl/Repositorio/27062025/ac7bc94e30f0407d85a740a560b0f57d.jpg
HYUNDAI,SANTA FE,2024,1,15300000,18186.0,9093.0,AUTOMATICA,DIESEL,22,2004,19,3000000,Cia. Seguros,TJLB76,https://www.karcal.cl/Detalle/Ficha/96395/13,https://www.karcal.cl/Repositorio/27062025/6323cb1db6324cffb6318802c7d2434e.jpg
BMW,Z4 M,2014,11,11700000,152011.0,12667.583333333334,AUTOMATICA,GASOLINA,20,3519,9,5000000,Particular,GFST25,https://www.karcal.cl/Detalle/Ficha/96351/14,https://www.karcal.cl/Repositorio/03072025/2e183ee2ce6d451ca297ec1329c0ecc8.jpg
CHEVROLET,TAHOE,2018,7,11000000,15703.0,1962.875,AUTOMATICA,GASOLINA,53,275,19,5000000,Particular,KJGK88,https://www.karcal.cl/Detalle/Ficha/96420/15,https://www.karcal.cl/Repositorio/03072025/7296a6225fa14a518a2d829a201a11c5.jpg
OPEL,MOKKA,2025,0,6200000,5513.0,5513.0,MECANICA,GASOLINA,12,8580,15,2000000,Cia. Seguros,TWLV28,https://www.karcal.cl/Detalle/Ficha/96432/16,https://www.karcal.cl/Repositorio/01072025/36ccc7080507478a817aef6fc8b1af09.jpg
MAZDA,ALL NEW,2019,6,9700000,10659.0,1522.7142857142858,AUTOMATICA,GASOLINA,20,2652,23,2000000,Cia. Seguros,LBTZ18,https://www.karcal.cl/Detalle/Ficha/96408/17,https://www.karcal.cl/Repositorio/27062025/d2a3dc6c0640480fbca6dbce9c13300c.jpg
KIA MOTORS,RIO,2023,2,6200000,16670.0,5556.666666666667,AUTOMATICA,GASOLINA,14,2915,28,1000000,Particular,SSJD11,https://www.karcal.cl/Detalle/Ficha/96425/18,https://www.karcal.cl/Repositorio/03072025/021a303b6e68491ba1f52ce9cbcba78b.jpg
PEUGEOT,208,2023,2,1000000,25691.0,8563.666666666666,MECANICA,GASOLINA,12,7290,1,1000000,Cia. Seguros,STYK27,https://www.karcal.cl/Detalle/Ficha/96407/19,https://www.karcal.cl/Repositorio/03072025/5d1e383e06964a2b93e467519e34a413.jpg
SUZUKI,SWIFT,2025,0,3600000,3838.0,3838.0,MECANICA,GASOLINA,12,9850,11,1000000,Cia. Seguros,TVVR55,https://www.karcal.cl/Detalle/Ficha/96411/20,https://www.karcal.cl/Repositorio/27062025/1319a4c7453c4eac98cda3331bf8530a.jpg
CHEVROLET,ONIX,2020,5,3500000,32321.0,5386.833333333333,MECANICA,GASOLINA,14,5030,7,1000000,Cia. Seguros,PDXY18,https://www.karcal.cl/Detalle/Ficha/96438/21,https://www.karcal.cl/Repositorio/01072025/75da8a7a84994f768918e116eeb9fd1f.jpg
CITROËN,C4,2022,3,1900000,72188.0,18047.0,AUTOMATICA,DIESEL,15,3970,4,1000000,Cia. Seguros,SCHK37,https://www.karcal.cl/Detalle/Ficha/96404/22,https://www.karcal.cl/Repositorio/27062025/ee37603f487e4851938f2ec8925ccdea.jpg
BMW,120I SPORT,2018,7,6400000,103004.0,12875.5,AUTOMATICA,GASOLINA,20,2325,10,3000000,Particular,KGYC27,https://www.karcal.cl/Detalle/Ficha/96358/23,https://www.karcal.cl/Repositorio/03072025/7b7a019cbc954f889035fa102267fc70.jpg
AUDI,A5 COUPE,2014,11,3100000,124814.0,10401.166666666666,AUTOMATICA,GASOLINA,18,1199,7,2000000,Cia. Seguros,GCRT47,https://www.karcal.cl/Detalle/Ficha/96390/24,https://www.karcal.cl/Repositorio/27062025/37e5943cb9cd4edbb344ca6ff792dca3.jpg
MERCEDES BENZ,C,2018,7,3800000,109927.0,13740.875,AUTOMATICA,GASOLINA,22,2612,4,3000000,Particular,KLWV21,https://www.karcal.cl/Detalle/Ficha/96353/25,https://www.karcal.cl/Repositorio/03072025/76185eed0049464f9ee5af25b1c6f485.jpg
HYUNDAI,GRAND I10,2022,3,3400000,139613.0,34903.25,MECANICA,GASOLINA,12,1418,10,1000000,Cia. Seguros,RPHZ75,https://www.karcal.cl/Detalle/Ficha/96305/26,https://www.karcal.cl/Repositorio/24062025/22972df1cf304f8bbd2df520445a7363.jpg
NISSAN,VERSA,2024,1,5100000,40663.0,20331.5,AUTOMATICA,GASOLINA,16,8890,12,1000000,Cia. Seguros,TJJK47,https://www.karcal.cl/Detalle/Ficha/96406/27,https://www.karcal.cl/Repositorio/27062025/c99be48830944f4c96dce9f669c93e40.jpg
SUBARU,ALL NEW,2025,0,6000000,5462.0,5462.0,AUTOMATICA,GASOLINA,20,9080,15,1000000,Cia. Seguros,TTWY77,https://www.karcal.cl/Detalle/Ficha/96399/28,https://www.karcal.cl/Repositorio/27062025/f5d2cc9e260a4f9fb66c42a3218c066c.jpg
SUBARU,IMPREZA,2020,5,6600000,60983.0,10163.833333333334,AUTOMATICA,GASOLINA,20,1997,17,1000000,Cia. Seguros,PGYD78,https://www.karcal.cl/Detalle/Ficha/96337/29,https://www.karcal.cl/Repositorio/02072025/a92ee8e235e2424e90a1858f5c9644ae.jpg
TOYOTA,YARIS,2020,5,4000000,31598.0,5266.333333333333,MECANICA,GASOLINA,15,7350,6,1000000,Cia. Seguros,LZFC89,https://www.karcal.cl/Detalle/Ficha/96440/30,https://www.karcal.cl/Repositorio/01072025/96583149b5394aef861a17564be91591.jpg
KIA MOTORS,OPTIMA,2015,10,2700000,180411.0,16401.0,MECANICA,GASOLINA,20,4940,5,500000,Cia. Seguros,HKCZ96,https://www.karcal.cl/Detalle/Ficha/96439/31,https://www.karcal.cl/Repositorio/01072025/4b9fdece1fee40e7a2f4ebf87d669811.jpg
NISSAN,PRIMERA,2000,25,1600000,203909.0,7842.653846153846,AUTOMATICA,NO INFORMADO,20,5960,4,500000,Cia. Seguros,TN2646,https://www.karcal.cl/Detalle/Ficha/96436/32,https://www.karcal.cl/Repositorio/01072025/9a7cab190b4f44569a52deaf7e364bcd.jpg
CHERY,TIGGO,2025,0,8100000,5487.5,5487.5,AUTOMATICA,GASOLINA,15,1317,18,2000000,Cia. Seguros,TZLK95,https://www.karcal.cl/Detalle/Ficha/96393/33,https://www.karcal.cl/Repositorio/27062025/7ea64fb66b034d69a3ef2fd5d7a3ab61.jpg
VOLVO,XC90 II B6 MOMENTUN HIBRIDA,2023,2,28200000,18740.0,6246.666666666667,AUTOMATICA,GASOLINA,20,3327,11,10000000,Particular,SJVW16,https://www.karcal.cl/Detalle/Ficha/96350/34,https://www.karcal.cl/Repositorio/03072025/8f1ca30232134af3833719f9db7b5af1.jpg
CHERY,TIGGO,2022,3,2100000,40436.0,10109.0,MECANICA,GASOLINA,15,3040,2,2000000,Cia. Seguros,RKDV75,https://www.karcal.cl/Detalle/Ficha/96415/35,https://www.karcal.cl/Repositorio/03072025/329ff91b20d641dd99fdb061d45c9ae1.jpg
DS,DS4 CROSS,2023,2,12200000,12847.0,4282.333333333333,AUTOMATICA,DIESEL,15,8580,20,2000000,Cia. Seguros,SJRJ46,https://www.karcal.cl/Detalle/Ficha/96446/36,https://www.karcal.cl/Repositorio/01072025/51c7ca7d04724c9cafbcb57f0bc5c086.jpg
DS,DS3 CROSSBACK,2022,3,5000000,62911.0,15727.75,AUTOMATICA,GASOLINA,12,3880,13,2000000,Cia. Seguros,RZBF16,https://www.karcal.cl/Detalle/Ficha/96433/37,https://www.karcal.cl/Repositorio/01072025/73035f531d06401cafcd90e5aab9cc2d.jpg
FIAT,PULSE,2024,1,6500000,42762.0,21381.0,AUTOMATICA,GASOLINA,13,4600,12,2000000,Cia. Seguros,TBHG60,https://www.karcal.cl/Detalle/Ficha/96413/38,https://www.karcal.cl/Repositorio/27062025/e629764eb3e94043a4fd527ce5b7f78d.jpg
CHEVROLET,SPIN,2023,2,4100000,11989.0,3996.3333333333335,MECANICA,GASOLINA,18,2950,4,2000000,Cia. Seguros,SWHF67,https://www.karcal.cl/Detalle/Ficha/96403/39,https://www.karcal.cl/Repositorio/27062025/bfea26ba391249309db9eaa93893bb29.jpg
CHEVROLET,CAPTIVA II,2011,14,3500000,122992.0,8199.466666666667,MECANICA,GASOLINA,24,7160,8,2000000,Cia. Seguros,DGLP17,https://www.karcal.cl/Detalle/Ficha/96306/40,https://www.karcal.cl/Repositorio/24062025/33bdd2fba19d46708192d9ffbed7f73f.jpg
FORD,TERRITORY,2023,2,8400000,39534.0,13178.0,AUTOMATICA,GASOLINA,15,146,16,2000000,Cia. Seguros,SPBP18,https://www.karcal.cl/Detalle/Ficha/96398/41,https://www.karcal.cl/Repositorio/27062025/73b3834d6a5444e2be09d143e05e876e.jpg
FORD,TERRITORY,2021,4,7700000,25509.0,5101.8,AUTOMATICA,GASOLINA,15,8530,20,2000000,Cia. Seguros,RBSF65,https://www.karcal.cl/Detalle/Ficha/96412/42,https://www.karcal.cl/Repositorio/27062025/6dbfb7eb19ec4f6698581dfc7bb6cf7f.jpg
HYUNDAI,CRETA GRAND,2024,1,8500000,6429.0,3214.5,MECANICA,GASOLINA,20,1577,18,2000000,Cia. Seguros,TRJY90,https://www.karcal.cl/Detalle/Ficha/96295/43,https://www.karcal.cl/Repositorio/24062025/74dae18a06d7441d9e0cf57c224306aa.jpg
GEELY,COOLRAY,2023,2,2000000,30311.0,10103.666666666666,AUTOMATICA,GASOLINA,15,2300,0,2000000,Cia. Seguros,SPPX18,https://www.karcal.cl/Detalle/Ficha/96434/44,https://www.karcal.cl/Repositorio/01072025/a64e88e8f1ea46abb4c5d93964a70a1e.jpg
HONDA,HR V,2022,3,6800000,72188.0,18047.0,AUTOMATICA,GASOLINA,18,1125,21,2000000,Particular,RLLL43,https://www.karcal.cl/Detalle/Ficha/96354/45,https://www.karcal.cl/Repositorio/03072025/2fac8664c5254a439793e810326d7531.jpg
KIA,SONET,2023,2,3800000,37066.0,12355.333333333334,MECANICA,GASOLINA,15,3190,3,2000000,Cia. Seguros,SJHC50,https://www.karcal.cl/Detalle/Ficha/96405/46,https://www.karcal.cl/Repositorio/27062025/016f427e67434b8fafc0d1e14a4f2cf6.jpg
KIA,SELTOS,2021,4,6100000,29393.0,5878.6,MECANICA,GASOLINA,16,1146,19,2000000,Cia. Seguros,RCYT68,https://www.karcal.cl/Detalle/Ficha/96299/47,https://www.karcal.cl/Repositorio/24062025/9b8449fbbdc14093954ceb2374d88e4a.jpg
JETOUR,DASHING,2025,0,7000000,8236.0,8236.0,AUTOMATICA,GASOLINA,15,7850,22,2000000,Cia. Seguros,TSKT90,https://www.karcal.cl/Detalle/Ficha/96402/48,https://www.karcal.cl/Repositorio/27062025/494e0618f5fc4beca14d13d3af245c09.jpg
NISSAN,KICKS,2023,2,7600000,27425.0,9141.666666666666,AUTOMATICA,GASOLINA,16,9510,22,2000000,Cia. Seguros,SZSZ58,https://www.karcal.cl/Detalle/Ficha/96400/49,https://www.karcal.cl/Repositorio/27062025/0bad73ddd9bc4ea8919fceb9f730d0e7.jpg
MITSUBISHI,MONTERO SPORT,2015,10,9000000,197077.0,17916.090909090908,AUTOMATICA,DIESEL,25,1637,11,2000000,Cia. Seguros,GXGH66,https://www.karcal.cl/Detalle/Ficha/96298/50,https://www.karcal.cl/Repositorio/24062025/f500f1aefbb543fcb6736c3bafb6d217.jpg
NISSAN,X TRAIL,2013,12,2900000,158400.0,12184.615384615385,MECANICA,GASOLINA,25,5470,6,2000000,Cia. Seguros,FGCW38,https://www.karcal.cl/Detalle/Ficha/96310/51,https://www.karcal.cl/Repositorio/24062025/05b38c31517e4f40961ddeebf53b64f7.jpg
SUZUKI,GRAND NOMADE,2019,6,6100000,63770.0,9110.0,AUTOMATICA,GASOLINA,24,1164,13,2000000,Cia. Seguros,LJLW40,https://www.karcal.cl/Detalle/Ficha/96296/52,https://www.karcal.cl/Repositorio/24062025/61e9d6c9e4dc448db6913552aadae4b4.jpg
CITROËN,C3,2022,3,6900000,78405.0,19601.25,MECANICA,DIESEL,15,1178,15,2000000,Particular,RWWT18,https://www.karcal.cl/Detalle/Ficha/96426/53,https://www.karcal.cl/Repositorio/30062025/6617a4501c0e4699b8668f5b862e48a8.jpg
SUZUKI,JIMNY,2022,3,5300000,94697.0,23674.25,AUTOMATICA,GASOLINA,15,1252,11,2000000,Cia. Seguros,RRXD77,https://www.karcal.cl/Detalle/Ficha/96339/54,https://www.karcal.cl/Repositorio/25062025/021c8ffc2fad4058963fcae8b81da91a.jpg
FORD,RANGER,2024,1,13000000,68118.0,34059.0,AUTOMATICA,DIESEL,32,2629,18,2500000,Cia. Seguros,SYTZ26,https://www.karcal.cl/Detalle/Ficha/96397/55,https://www.karcal.cl/Repositorio/27062025/951639fad4f444dfb6ea029292fd9fe2.jpg
FORD,RANGER,2018,7,4100000,262221.0,32777.625,MECANICA,DIESEL,32,6660,5,2500000,Cia. Seguros,KGLK90,https://www.karcal.cl/Detalle/Ficha/96338/56,https://www.karcal.cl/Repositorio/02072025/dc3ff20e559d4a779e1f6ac6fe86a1e2.jpg
MITSUBISHI,L200,2022,3,10100000,67641.0,16910.25,MECANICA,DIESEL,24,1162,18,2500000,Cia. Seguros,RSGV96,https://www.karcal.cl/Detalle/Ficha/96444/57,https://www.karcal.cl/Repositorio/02072025/c58223d937914265ac50a61e4d89e99b.jpg
MITSUBISHI,L200,2022,3,7200000,72188.0,18047.0,MECANICA,DIESEL,24,9010,6,2500000,Cia. Seguros,RGSD78,https://www.karcal.cl/Detalle/Ficha/96292/58,https://www.karcal.cl/Repositorio/02072025/a6f6be3dc42e4b1ebe753065e9c3b665.jpg
TOYOTA,NEW HI,2022,3,6400000,72188.0,18047.0,MECANICA,DIESEL,24,8480,10,2500000,Cia. Seguros,RBKV90,https://www.karcal.cl/Detalle/Ficha/96435/59,https://www.karcal.cl/Repositorio/01072025/7364abd5f86b44a189cf1eb7b6f83675.jpg
RAM,VAN,2021,4,2700000,56227.0,11245.4,MECANICA,GASOLINA,14,3680,2,2500000,Cia. Seguros,PTKZ77,https://www.karcal.cl/Detalle/Ficha/96311/60,https://www.karcal.cl/Repositorio/02072025/49dbc5f114dc446a85f312d12251f0d3.jpg
MAXUS,T60,2022,3,5300000,76735.0,19183.75,MECANICA,DIESEL,28,5840,7,2500000,Cia. Seguros,SDZR85,https://www.karcal.cl/Detalle/Ficha/96385/61,https://www.karcal.cl/Repositorio/27062025/04f9e67373c848d7bfe36f7aa8e36673.jpg
MAXUS,T60,2021,4,3600000,202245.0,40449.0,MECANICA,DIESEL,28,4960,5,2500000,Cia. Seguros,PHYT97,https://www.karcal.cl/Detalle/Ficha/96294/62,https://www.karcal.cl/Repositorio/02072025/d26ebb4715f24cf3bfa9b36cbfacaac6.jpg
KIA MOTORS,FRONTIER,2017,8,7300000,209132.0,23236.88888888889,MECANICA,DIESEL,25,1384,17,2500000,Cia. Seguros,JSDS57,https://www.karcal.cl/Detalle/Ficha/96297/63,https://www.karcal.cl/Repositorio/24062025/338b5e6a82c24993b4cbef59dabbd0dc.jpg
DFSK,CARGO VAN,2017,8,1300000,71148.0,7905.333333333333,MECANICA,GASOLINA,12,3600,3,1000000,Cia. Seguros,JKXG18,https://www.karcal.cl/Detalle/Ficha/96303/64,https://www.karcal.cl/Repositorio/02072025/45362ba6e62e4c5881994d532c011c24.jpg
